Full Name,Email,Age,Zip,Phone,Gender,City,State,Password,Street,Major,Courses 1,Course 1 Name,Course 1 Details,Course 1 Type,Course 1 Section,Course 1 Section Limit,Course 1 HW_No,Course 1 HW_Details,Course 1 HW_Grade,Course 1 EXAM_No,Course 1 Exam_Details,Course 1 EXAM_Grade,Courses 2,Course 2 Name,Course 2 Details,Course 2 Type,Course 2 Section,Course 2 Section Limit,Course 2 HW_No,Course 2 HW_Details,Course 2 HW_Grade,Course 2 EXAM_No,Course 2 Exam_Details,Course 2 EXAM_Grade,Courses 3,Course 3 Name,Course 3 Details,Course 3 Type,Course 3 Section,Course 3 Section Limit,Course 3 HW_No,Course 3 HW_Details,Course 3 HW_Grade,Course 3 EXAM_No,Course 3 Exam_Details,Course 3 EXAM_Grade
Alisa Lynch,aly8942@lionstate.edu,19,62901,1507045398,F,Carbondale,Illinois,ixg1libp,78 South Brewery Ave.,CHEM,EE320,Network Security and Cryptography,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,93.0,1.0,Closed book exam for 100 marks,86.0,EE212,Introduction to Signal Conditioning,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,85.0,1.0,Closed book exam for 100 marks,81.0,CMPEN454,Fundamentals of Computer Vision,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,90.0,,,
Alisha Murray,amu1270@lionstate.edu,21,46376,3852017301,F,Schneider,Indiana,4eystjwe,639 Princeton Rd.,CMPSC,PHYS212,Solid State Physics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,82.0,IST110,"Introduction to Information, People And Technology",Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,64.0,1.0,Closed book exam for 100 marks,83.0,CMPEN331,Computer Organization And Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,84.0
Alice Kiehn,aki5907@lionstate.edu,20,30529,4651079903,M,Commerce,Georgia,p0ulbn26,8985 Cambridge Ave.,PHYS,CMPEN411,VLSI Digital Circuits,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,79.0,1.0,Closed book exam for 100 marks,76.0,MATH231,Vector Calculus,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,93.0,CHEM111,Experimental Chemistry,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,74.0,1.0,Closed book exam for 100 marks,87.0
Anastasia Shields,ash5820@lionstate.edu,18,72571,1245720203,F,Rosie,Arkansas,06e84eor,55 Hall St.,CSE,CMPSC360,Discrete Mathematics for CMPSC,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,60.0,1.0,Closed book exam for 100 marks,94.0,CMPEN431,Introduction to Computer Architecture,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,69.0,1.0,Closed book exam for 100 marks,83.0,EE330,Energy Systems,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,67.0,1.0,Closed book exam for 100 marks,95.0
Alyce Leuschke Jr.,ale8219@lionstate.edu,21,80104,5672573168,M,Castle Rock,Colorado,ev4n7hoh,232 W. Homewood Ave.,PHYS,CMPSC497,Introduction to Data Mining,Regular 3 credit course offered only on campus,Cap,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,,,,CMPSC461,Programming Language Concepts,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,84.0,CMPSC475,Applications Programming,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,97.0,1.0,Closed book exam for 100 marks,97.0
Althea Leuschke,ale8939@lionstate.edu,21,91042,5188242875,F,Tujunga,California,oqt6byzj,608 North Addison St.,PHYS,CMPSC360,Discrete Mathematics for CMPSC,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,88.0,1.0,Closed book exam for 100 marks,91.0,PHYS213,General Physics: Electricity and Magnetism,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,99.0,ECON101,Principles of Economics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,94.0,1.0,Closed book exam for 100 marks,81.0
Alysa Hintz,ahi5324@lionstate.edu,20,52041,2747801612,F,Earlville,Iowa,d797xc1r,7764 Union Avenue,EE,CMPEN351,Microprocessors,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,75.0,1.0,Closed book exam for 100 marks,62.0,STAT414,Introduction to Probability Theory,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,,,,MATH230,Ordinary and Partial Differential Equations,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,84.0,1.0,Closed book exam for 100 marks,79.0
Alisha Beier,abe4600@lionstate.edu,21,33162,9958003600,M,Miami,Florida,gr1wwq45,91 S. Gartner Street,CSE,PHYS211,Thermal Physics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,78.0,1.0,Closed book exam for 100 marks,63.0,CMPEN270,Embedded Systems Design,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,79.0,STAT319,Applied Statistics in Science,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,95.0,1.0,Closed book exam for 100 marks,61.0
Anastacio Krajcik,akr4205@lionstate.edu,18,86426,8949156456,F,Fort Mohave,Arizona,uy8t28xc,7195 North Canterbury Circle,DS,CMPSC465,Data structures and algorithms,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,71.0,1.0,Closed book exam for 100 marks,65.0,STAT414,Introduction to Probability Theory,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,,,,STAT415,Introduction to Mathematical Statistics,Regular 3 credit course offered only on campus,Reg,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,80.0,1.0,Closed book exam for 100 marks,63.0
Alfonso Torp,ato9019@lionstate.edu,18,80820,6526624001,F,Guffey,Colorado,dfo34diu,963 Court Road,PHYS,PHYS214,General Physics: Wave Motion and Quantum Physics,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,96.0,1.0,Closed book exam for 100 marks,90.0,IST558,Data Mining 2,Regular 3 credit course offered only on campus,Cap,1.0,40,1.0,Submit this homework on CanvasPath. Grade is out of 100,86.0,,,,CSE583,Pattern Recognition,Regular 3 credit course offered only on campus,Reg,2.0,30,1.0,Submit this homework on CanvasPath. Grade is out of 100,70.0,1.0,Closed book exam for 100 marks,91.0
